"total_internet_time","use_smartphone","use_laptop","use_tablet","use_desktop","use_wearables","is_in_school","is_employed","gender"
110,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"female"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"female"
52.5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"male"
NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"female"
7.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"male"
37.5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"female"
35,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"female"
NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"female"
62.5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"female"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"male"
75,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"female"
NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"male"
20,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"female"
NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"female"
NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"female"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"male"
NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"female"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"male"
NA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"male"
NA,NA,NA,NA,NA,NA,FALSE,FALSE,"female"
NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"male"
12.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"female"
120,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"male"
7.5,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"male"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"male"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"male"
NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"male"
NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"female"
NA,NA,NA,NA,NA,NA,FALSE,FALSE,"male"
NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"male"
NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"male"
NA,NA,NA,NA,NA,NA,FALSE,FALSE,"female"
NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"male"
NA,NA,NA,NA,NA,NA,FALSE,TRUE,"female"
50,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"male"
52.5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"male"
